Date,Cleveland,Miami,NYC,SF
195001,35,73.6,41,44
195002,27.7,70.5,30.8,49
195003,31.5,72.2,35.8,50.6
195004,41.6,71.4,48.1,54.3
195005,59.7,79.5,58.5,55.7
195006,67.3,83,70.2,58.7
195007,70.2,82.7,74.9,61.7
195008,69.4,82.9,72.9,62.2
195009,63.4,82.3,64.2,63.7
195010,56.1,80,59.4,60.5
195011,35.7,69.9,47.4,59.3
195012,23.6,65.9,34.4,53.3
195101,28.1,65.7,35.7,48.3
195102,28.4,65.7,36,49.9
195103,36.6,71,41,51.4
195104,45.5,74.6,52.7,51.9
195105,59.9,79,63.1,58
195106,68.2,82.4,69.8,58.9
195107,72.8,83.1,76.7,58.8
195108,69.2,84.9,74.3,61.3
195109,61.9,84.5,67.8,61.9
195110,56.3,79.2,58.1,59.8
195111,33.9,71.8,42.6,53.7
195112,28.9,73.2,38.3,48.3
195201,30.3,69.7,35.5,46.8
195202,30.6,68.6,35.4,51.2
195203,35.2,74.6,39.6,50.8
195204,48.8,73.6,54.6,54.6
195205,57,79.7,60.5,56.8
195206,72.4,83.8,73.5,57.8
195207,75.7,84.3,80.2,62.3
195208,70.9,84.1,74.7,60.2
195209,64.5,83.7,69.5,62.7
195210,47.7,78.9,55.1,58.7
195211,42.3,73.7,47.6,51.5
195212,33.4,66.9,37.9,50.2
195301,31.7,67.7,36.9,52.8
195302,32.1,71.3,37.7,49.9
195303,38.5,74.8,42.8,50.7
195304,44.2,76.4,52,52.2
195305,60.9,81.3,63.2,55.5
195306,70.6,82.2,73.5,58.6
195307,73.6,83.4,77.7,60.1
195308,72.4,84.3,75.6,62
195309,64.5,82.8,70,64
195310,55.8,76.7,60.1,58.4
195311,43.4,72.8,48.7,54.8
195312,32.6,69.8,40.8,50.9
195401,26.6,69.2,30.1,49.2
195402,34.7,68.1,39.4,50.9
195403,33.6,69.6,41,49.5
195404,53.3,77.3,53.4,56.4
195405,56.4,80,59.6,56.7
195406,71.3,82.1,71.5,58.8
195407,72.3,83.8,76.6,61.8
195408,70.1,85.7,72.5,61.1
195409,66.8,83.3,67,61.7
195410,54.6,77.9,61.1,59.1
195411,40.8,71.2,45.4,53
195412,30.6,64.5,35.4,47.4
195501,25.1,65,30.2,44.5
195502,29.3,67.8,34.2,48.6
195503,37,71.5,41.1,52.3
195504,54.6,76.2,53.2,51.8
195505,61.8,78.8,65.2,57.3
195506,67,81.2,68.8,59.3
195507,78.4,81.9,80.8,59.3
195508,75,84,77.9,59.7
195509,66.1,83,67.4,61.1
195510,53.6,77.8,59.2,59.1
195511,37.2,73,43.3,53.5
195512,27.2,69.7,29.2,51.5
195601,26,62.8,31.3,49.6
195602,30.1,71.2,35.8,47.4
195603,34.7,70.4,36.8,51
195604,44.9,74.6,47.9,53.5
195605,57.2,80.1,58.4,57.8
195606,68.1,81.7,71.4,60.8
195607,71.3,83.6,72.8,61.2
195608,70.8,84.6,74,61.7
195609,60.4,81.5,64.4,63.2
195610,57.5,78.9,57.5,57.6
195611,41.2,70.2,45.7,53.9
195612,36.9,69.7,40.4,48
195701,21.5,70.1,27.8,45.2
195702,31.8,73.5,36.5,52.3
195703,36.8,71.3,41.4,53
195704,49.7,77.5,52.9,56.1
195705,58.5,80,62.9,58.1
195706,69.7,82.8,74.2,63.1
195707,71.7,83.3,77.6,63.7
195708,69.4,83.2,73.3,62.2
195709,64.2,83,69.3,64.9
195710,50.6,77.8,55.6,60.5
195711,41.4,76,48.4,53.2
195712,34.9,66.5,39.7,48.9
195801,26.6,62.1,31.2,49.6
195802,22,60.2,26.6,54.9
195803,34.2,70.6,39.7,49.9
195804,50.3,75.8,52.6,56
195805,58.2,78.7,58.9,59.7
195806,63.8,83.3,67.1,62.4
195807,73,84,76,62.1
195808,69.5,85,74.9,64.3
195809,64.1,84,67.2,66.8
195810,53.9,78.6,54.9,60.9
195811,43,77.7,47,55.6
195812,22.1,69.9,28.8,53.6
195901,22.5,67.2,30.5,51.6
195902,27.8,75.8,31.3,50.4
195903,35.3,72,39.5,55.5
195904,48.8,76.3,53.4,57.5
195905,63.7,79.3,66.1,57.4
195906,69.4,81.9,71.1,60.7
195907,72.9,82.2,76.2,62.7
195908,75.3,82.5,77.3,64.2
195909,68.2,82.2,71.9,62.9
195910,53.1,81.8,59.2,63.4
195911,37.6,74.9,44.8,55.1
195912,34.8,68.1,37.8,49.8
196001,29.8,67.4,33.2,48.5
196002,28.3,68.3,35.5,51.2
196003,24.2,68.3,32.8,54.6
196004,51.5,75.2,53.7,55.8
196005,57.7,77.9,62.4,56.5
196006,66.7,82.2,71.8,64.1
196007,68.7,84.8,74.5,61.8
196008,70.4,84.3,74.7,61.1
196009,65.7,82.8,67.6,60.8
196010,51.3,80.4,57.5,59.2
196011,42.5,75.3,48.7,52.4
196012,23.2,66,30.4,48.4
196101,21.6,65.2,27,46.7
196102,31.9,70,35.9,52.8
196103,40.2,74,41,51.9
196104,44,74.9,48.7,55.9
196105,55.1,78.9,59.6,55.2
196106,65.9,82.2,72.3,62.7
196107,72.4,84.6,78,63.5
196108,71.5,84.4,76.2,63.9
196109,69.2,83.1,73.1,63.6
196110,57.1,78.5,60.5,60
196111,42.5,74.5,47.8,52.2
196112,30,69.6,35,46.5
196201,23.8,68.6,31.9,46.5
196202,26.3,72,31.1,49.4
196203,34.1,70.7,42.5,49.8
196204,47.9,74.1,53,55.2
196205,65.8,78.2,64.2,56.2
196206,68.8,81.4,72.4,59.3
196207,70.4,84.6,73.9,59.7
196208,70.8,84.1,72.2,63.1
196209,62.7,82.3,64.6,60.3
196210,54.8,78.7,56.8,58.9
196211,42.4,68.9,42.2,54.8
196212,26.2,64.4,31,48.9
196301,18.5,67.6,29.4,44.7
196302,18.3,66.4,27.5,55.3
196303,39.9,73.9,43.1,51.2
196304,49.5,75.7,53.4,52.2
196305,56.1,78.2,60.9,56.4
196306,69.2,82,70.9,58.2
196307,72.9,84.4,76.3,61.8
196308,67.9,84.2,71.8,63
196309,61.5,82.6,62.7,65.7
196310,60.2,77.3,61.2,61.5
196311,44.4,72.1,49.4,53.5
196312,22.8,64.2,30.6,45.5
196401,30.3,68,34.9,47.3
196402,26.3,66.3,32.1,50.2
196403,37.8,75.1,42.6,51.2
196404,49.9,78.2,49.4,53.4
196405,62.1,78.9,65.2,54.1
196406,69,82.5,71.6,61
196407,73.8,84.1,75.3,62.8
196408,68.7,84.9,72.7,64
196409,64.8,83.6,66.8,63.2
196410,50,78,54.4,60.6
196411,44.8,75.7,48.4,51.4
196412,34.1,72.9,35.9,51
196501,27.4,67.5,29,48.2
196502,28.1,71.5,33.1,50.1
196503,31.9,73.6,39.5,52
196504,45.8,77.7,50.3,54.2
196505,63.4,79.7,66.2,54.9
196506,67,82.1,70,58
196507,69.2,82.6,74.2,60
196508,68.9,83,72.9,63
196509,67.6,81.1,67.1,60.8
196510,51.5,79.2,56.7,62.3
196511,42.7,75.1,45.8,54.9
196512,37.5,70,40,44.6
196601,22.2,66.6,31.5,47.3
196602,26.8,69.4,34.3,48.5
196603,38,69.7,42.1,51.3
196604,46.4,73.9,49.4,57.5
196605,54.4,78.8,61.3,57
196606,69.1,79.6,75.3,61.1
196607,73,82.4,79.6,60.2
196608,69,82.9,76.6,62
196609,61.1,82.4,66.1,63.8
196610,50.5,79,55.5,60.1
196611,43.1,71,47.9,54.4
196612,30.7,67.3,35.2,48.7
196701,32.6,71.9,36.6,48.9
196702,26.1,69.5,28.4,51.1
196703,37.3,73.3,37,52.1
196704,49.9,75.8,49.2,50.6
196705,52.5,80.5,55,58.2
196706,71.9,81.2,72.7,59.1
196707,69.9,83.7,75.2,62.5
196708,69,83,73.6,62.5
196709,61.9,82.6,66.3,66.1
196710,54.2,77.3,56.6,63.2
196711,38.8,73,41.5,57.5
196712,34.9,72.4,37.6,47.8
196801,23.3,67.3,26,46.2
196802,23.2,63.7,28.1,54.2
196803,38.2,67.4,42.7,54.2
196804,50.1,76.9,54.6,54.6
196805,55,79.3,59.4,56
196806,67.1,80.8,69.7,61
196807,70.6,82.9,77.2,61.6
196808,72.4,83.5,75.8,64.9
196809,64.5,82.4,70.2,64.9
196810,52.7,78,59.9,60
196811,43,70.8,45.9,54
196812,30.6,67,33.7,47.6
196901,26.1,67.7,31.1,46.2
196902,28.5,65.4,31.9,48.7
196903,34.9,67,39.5,51.9
196904,50.1,77.4,55.6,53.8
196905,59.2,79.6,65,58.2
196906,66.1,82.7,73,60.2
196907,73,84.6,74.7,61.5
196908,72.4,83.7,77.2,62.5
196909,64.3,82.5,68.5,64.5
196910,52.5,80,57.1,60.9
196911,40.9,70.5,45.4,55.8
196912,27.9,66.4,32.8,53.4
197001,19.5,63.5,24.4,52.1
197002,27.9,64.9,32.2,54.6
197003,34.4,71.1,-99,56
197004,50.8,78.5,51.8,53.4
197005,63.4,79,63.8,60.2
197006,70.4,81.5,70.8,60.2
197007,72.6,83.3,77,62.6
197008,70.5,84.5,77.4,61.3
197009,66.6,81.9,70.4,65.2
197010,55,79.5,58.3,58.2
197011,42.2,70.1,47.5,55.6
197012,32.8,70.3,33.9,48.4
197101,22.1,67.9,26.2,48
197102,28.5,69.5,34.3,49.7
197103,32.2,69.2,39.6,51.8
197104,43.8,74,50.4,52.7
197105,57.2,80.1,61.1,56.1
197106,71.6,81.8,74.2,59.8
197107,70.1,83.4,77.7,60.4
197108,69.6,82.8,75.7,64.9
197109,68.3,81.5,71.4,65.9
197110,60.5,79.7,62.3,56.7
197111,42,74.3,44.4,52.9
197112,38.7,74.5,40.5,45.8
197201,28,73.2,34.6,45.4
197202,26.3,68.6,30.9,51.7
197203,35.4,72.2,39.4,55
197204,46.6,75.6,50,55.1
197205,59.3,78.4,63.3,57.3
197206,63.3,80.8,68,60.5
197207,72.1,81.8,77.3,64
197208,69.6,82.5,75.6,63.7
197209,64.4,81.3,69.4,62.3
197210,49.3,78.7,53.1,60.7
197211,39.9,73.8,43.6,52.9
197212,34.8,71.1,38.2,44.6
197301,30.6,70.4,35,47.7
197302,28.1,65.5,31.9,52.6
197303,46.8,74.6,46,51.1
